Devices
1000
		PedaleGauche - Force			PedaleGauche - Moment			PedaleGauche - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9349	0	-30.3228	9.80368	-0.479333	-89.1514	-621.847	849.801	0	0	0
9349	1	-27.3094	11.3419	3.44372	-180.014	-662.337	902.189	192.332	-52.2731	0
9349	2	-33.0563	9.47181	11.1799	56.1574	-783.617	920.953	70.0914	5.02306	0
9349	3	-25.5799	10.2006	4.39034	-141.193	-616.047	863.785	140.318	-32.1599	0
9350	0	-29.0573	8.37191	9.13532	14.7053	-734.777	860.5	80.4326	1.60972	0
9350	1	-24.1249	8.68226	6.08144	-77.1743	-598.983	807.34	98.4936	-12.6901	0
9350	2	-27.0186	7.60989	6.18391	-49.8534	-668.587	759.71	108.117	-8.0618	0
9350	3	-22.7956	9.07922	4.70861	-95.5028	-584.841	749.197	124.207	-20.2826	0
9351	0	-24.8754	10.652	5.222	-116.296	-613.184	747.034	117.423	-22.2703	0
9351	1	-22.5515	12.9414	6.10555	-216.402	-666.791	854.843	109.211	-35.4435	0
9351	2	-25.8467	15.665	-2.50623	-257.618	-495.466	823.33	-197.694	102.791	0
9351	3	-21.986	9.91593	0.158378	-188.967	-500.447	748.937	0	0	0
9352	0	-24.5773	12.4677	3.07705	-195.966	-520.078	838.88	169.018	-63.6863	0
9352	1	-23.9452	11.0566	4.72718	-131.398	-474.62	761.923	100.402	-27.7963	0
9352	2	-23.2392	9.79999	1.75347	-166.458	-481.735	803.123	274.732	-94.9307	0
9352	3	-25.2585	7.05301	-5.37316	-112.472	-518.466	748.85	-96.4917	20.9322	0
